wdur,twdur,age,jobno2,single,hrswk,size,marri,female,white,rhrpay2,ind_pub,highsch,graduate,hrswk_sq
167,281,28,3,0,40,1000,"Married",0,1,917,0,0,1,1600
303,345,29,2,1,40,-2,"Married",1,1,683,1,0,1,1600
348,693,35,3,0,40,50,"Married",1,1,439,1,0,1,1600
50,70,27,1,0,35,200,"Never-married",1,1,410,0,0,1,1225
13,245,29,1,0,9,-2,"Never-married",1,1,385,0,0,1,81
6,16,18,2,1,7,-4,"Never-married",0,0,283,0,1,0,49
36,74,20,4,0,30,99995,"Never-married",0,0,348,0,1,0,900
8,154,21,6,0,40,-2,"Never-married",0,0,363,1,1,0,1600
6,186,22,8,0,40,-4,"Never-married",0,0,1578,0,1,0,1600
4,195,22,9,0,40,40,"Never-married",0,0,276,0,1,0,1600
8,208,23,9,1,40,5,"Never-married",0,0,288,0,1,0,1600
1,209,23,11,0,40,5,"Never-married",0,0,384,0,1,0,1600
3,229,23,13,1,40,-4,"Never-married",0,0,288,0,1,0,1600
18,247,24,14,1,40,5,"Never-married",0,0,297,0,1,0,1600
81,81,23,1,0,12,200,"Never-married",0,0,300,0,0,1,144
8,90,23,2,0,30,4,"Never-married",1,1,326,0,1,0,900
33,292,23,3,1,15,10,"Never-married",1,1,307,1,1,0,225
71,363,25,2,0,15,4,"Never-married",1,1,288,0,1,0,225
47,96,19,3,1,30,1,"Never-married",0,1,256,0,1,0,900
11,107,20,4,0,40,-2,"Never-married",0,1,322,0,1,0,1600
4,122,20,4,1,40,-2,"Never-married",0,1,322,0,1,0,1600
11,133,20,6,1,40,-4,"Never-married",0,1,383,0,1,0,1600
54,494,28,8,1,40,38000,"Married",0,1,569,0,1,0,1600
19,522,29,10,1,40,-4,"Married",0,1,306,0,1,0,1600
71,593,31,11,1,40,1000,"Married",0,1,490,0,1,0,1600
16,609,31,12,1,40,-4,"Married",0,1,519,0,1,0,1600
46,655,31,13,1,40,380,"Married",0,1,529,0,1,0,1600
10,104,25,3,0,30,12,"Never-married",1,0,274,0,1,0,900
20,129,26,4,1,40,50,"Never-married",1,0,370,1,1,0,1600
4,257,31,6,0,16,100,"Never-married",1,0,260,0,1,0,256
52,377,33,8,0,25,150,"Never-married",1,0,306,1,1,0,625
12,75,20,2,0,40,-2,"Married",1,0,605,0,1,0,1600
17,152,23,6,1,40,10,"Divorced",1,0,461,0,1,0,1600
